,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,2nd Flr SF,Low Qual Fin SF,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Garage Cars Garage Area,Garage Cars Gr Liv Area,Garage Cars TotRms AbvGrd,Garage Cars Total Bsmt SF,Garage Cars 1st Flr SF,Garage Cars Bedroom AbvGr,Garage Cars TotRms AbvGrd,Garage Area Gr Liv Area,Garage Area TotRms AbvGrd,Garage Area Total Bsmt SF,Garage Area 1st Flr SF,Garage Area Bedroom AbvGr,Garage Area TotRms AbvGrd,Gr Liv Area TotRms AbvGrd,Gr Liv Area Total Bsmt SF,Gr Liv Area 1st Flr SF,Gr Liv Area Bedroom AbvGr,Gr Liv Area TotRms AbvGrd,TotRms AbvGrd Total Bsmt SF,TotRms AbvGrd 1st Flr SF,TotRms AbvGrd Bedroom AbvGr,TotRms AbvGrd TotRms AbvGrd,Total Bsmt SF 1st Flr SF,Total Bsmt SF Bedroom AbvGr,Total Bsmt SF TotRms AbvGrd,1st Flr SF Bedroom AbvGr,1st Flr SF TotRms AbvGrd,Bedroom AbvGr TotRms AbvGrd
0,109,60,RL,0.0,13517,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,GasA,Ex,Y,SBrkr,754,0,0.0,0.0,2,1,1,Gd,Typ,0,,Attchd,RFn,TA,TA,Y,0,44,0,0,0,0,,,,0,3,2010,WD ,130500.0,950.0,2958.0,12.0,1450.0,1450.0,6.0,12.0,702525.0,2850.0,344375.0,344375.0,1425.0,2850.0,8874.0,1072275.0,1072275.0,4437.0,8874.0,4350.0,4350.0,18.0,36.0,525625.0,2175.0,4350.0,2175.0,4350.0,18.0
1,544,60,RL,43.0,11492,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,GasA,Ex,Y,SBrkr,1209,0,1.0,0.0,2,1,1,Gd,Typ,1,TA,Attchd,RFn,TA,TA,Y,0,74,0,0,0,0,,,,0,4,2009,WD ,220000.0,1118.0,4244.0,16.0,1826.0,1826.0,8.0,16.0,1186198.0,4472.0,510367.0,510367.0,2236.0,4472.0,16976.0,1937386.0,1937386.0,8488.0,16976.0,7304.0,7304.0,32.0,64.0,833569.0,3652.0,7304.0,3652.0,7304.0,32.0
2,153,20,RL,68.0,7922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,GasA,TA,Y,SBrkr,0,0,1.0,0.0,1,0,1,Gd,Typ,0,,Detchd,Unf,TA,TA,Y,0,52,0,0,0,0,,,,0,1,2010,WD ,109000.0,246.0,1057.0,5.0,1057.0,1057.0,3.0,5.0,260022.0,1230.0,260022.0,260022.0,738.0,1230.0,5285.0,1117249.0,1117249.0,3171.0,5285.0,5285.0,5285.0,15.0,25.0,1117249.0,3171.0,5285.0,3171.0,5285.0,15.0
3,318,60,RL,73.0,9802,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,GasA,Gd,Y,SBrkr,700,0,0.0,0.0,2,1,1,TA,Typ,0,,BuiltIn,Fin,TA,TA,Y,100,0,0,0,0,0,,,,0,4,2010,WD ,174000.0,800.0,2888.0,14.0,768.0,1488.0,6.0,14.0,577600.0,2800.0,153600.0,297600.0,1200.0,2800.0,10108.0,554496.0,1074336.0,4332.0,10108.0,2688.0,5208.0,21.0,49.0,285696.0,1152.0,2688.0,2232.0,5208.0,21.0
4,255,50,RL,82.0,14235,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,GasA,TA,Y,SBrkr,614,0,0.0,0.0,2,0,1,TA,Typ,0,,Detchd,Unf,TA,TA,N,0,59,0,0,0,0,,,,0,3,2010,WD ,138500.0,968.0,2890.0,12.0,1352.0,1662.0,6.0,12.0,699380.0,2904.0,327184.0,402204.0,1452.0,2904.0,8670.0,976820.0,1200795.0,4335.0,8670.0,4056.0,4986.0,18.0,36.0,561756.0,2028.0,4056.0,2493.0,4986.0,18.0
5,138,20,RL,137.0,16492,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,GasA,Ex,Y,SBrkr,0,0,0.0,0.0,2,1,1,Gd,Mod,1,Gd,Attchd,Fin,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2010,WD ,190000.0,1156.0,3776.0,12.0,3034.0,3776.0,4.0,12.0,1091264.0,3468.0,876826.0,1091264.0,1156.0,3468.0,11328.0,2864096.0,3564544.0,3776.0,11328.0,9102.0,11328.0,12.0,36.0,2864096.0,3034.0,9102.0,3776.0,11328.0,12.0
6,2827,180,RM,35.0,3675,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,GasA,Gd,Y,SBrkr,0,0,1.0,0.0,2,0,1,TA,Typ,0,,Basment,Fin,TA,TA,Y,0,44,0,0,0,0,,,,0,6,2006,New,140000.0,1050.0,2144.0,10.0,1094.0,2144.0,4.0,10.0,562800.0,2625.0,287175.0,562800.0,1050.0,2625.0,5360.0,586384.0,1149184.0,2144.0,5360.0,2735.0,5360.0,10.0,25.0,586384.0,1094.0,2735.0,2144.0,5360.0,10.0
7,145,20,RL,0.0,12160,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,GasA,Fa,Y,SBrkr,0,0,1.0,0.0,1,0,1,TA,Typ,0,,Attchd,RFn,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,5,2010,COD,142000.0,1062.0,2376.0,12.0,2376.0,2376.0,6.0,12.0,630828.0,3186.0,630828.0,630828.0,1593.0,3186.0,7128.0,1411344.0,1411344.0,3564.0,7128.0,7128.0,7128.0,18.0,36.0,1411344.0,3564.0,7128.0,3564.0,7128.0,18.0
8,1942,20,RL,0.0,15783,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,GasA,TA,Y,SBrkr,0,0,0.0,0.0,1,0,1,TA,Typ,0,,Detchd,Unf,TA,TA,Y,0,324,0,0,0,0,,MnPrv,Shed,400,6,2007,WD ,112500.0,420.0,924.0,6.0,924.0,924.0,2.0,6.0,388080.0,2520.0,388080.0,388080.0,840.0,2520.0,5544.0,853776.0,853776.0,1848.0,5544.0,5544.0,5544.0,12.0,36.0,853776.0,1848.0,5544.0,1848.0,5544.0,12.0
9,1956,60,RL,70.0,11606,Pave,,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,GasA,TA,Y,SBrkr,1040,0,0.0,1.0,1,2,1,Fa,Typ,2,TA,Attchd,Unf,TA,TA,Y,335,0,0,0,0,0,,,,0,9,2007,WD ,135000.0,1008.0,4160.0,18.0,2080.0,2080.0,10.0,18.0,1048320.0,4536.0,524160.0,524160.0,2520.0,4536.0,18720.0,2163200.0,2163200.0,10400.0,18720.0,9360.0,9360.0,45.0,81.0,1081600.0,5200.0,9360.0,5200.0,9360.0,45.0
